,,,2015-16 District Grades,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
District Number,District Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2014-15,College and Career Acceleration 2014-15,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2016,Informational Baseline Grade 2015
01,ALACHUA,55,52,36,55,54,39,59,73,78,74,57,632,11,57,96,B,A
02,BAKER,47,45,37,58,53,44,47,63,40,82,54,570,11,52,98,C,B
03,BAY,51,49,39,57,55,42,53,71,45,71,59,592,11,54,98,B,B
04,BRADFORD,40,41,43,39,47,40,44,51,55,77,38,515,11,47,97,C,C
05,BREVARD,60,53,41,60,55,44,62,72,69,86,67,669,11,61,98,B,A
06,BROWARD,55,54,43,56,53,40,54,69,61,77,55,617,11,56,99,B,B
07,CALHOUN,57,55,46,58,49,41,62,78,34,84,49,613,11,56,98,B,A
08,CHARLOTTE,52,51,42,56,54,44,57,72,50,76,46,600,11,55,98,B,B
09,CITRUS,56,49,38,61,56,44,61,70,53,77,52,617,11,56,99,B,A
10,CLAY,57,51,40,62,55,42,61,76,43,84,58,629,11,57,98,B,A
11,COLLIER,56,56,43,61,59,46,59,70,53,84,56,643,11,58,99,B,A
12,COLUMBIA,50,48,39,55,50,46,58,65,56,71,39,577,11,52,98,C,B
13,DADE,55,54,45,53,51,41,54,65,66,78,61,623,11,57,99,B,B
14,DESOTO,32,39,35,33,39,32,36,54,62,62,59,483,11,44,99,C,C
15,DIXIE,53,53,48,49,46,46,53,67,47,97,49,608,11,55,97,B,B
16,DUVAL,48,49,40,49,50,42,56,64,62,77,67,604,11,55,97,B,B
17,ESCAMBIA,45,46,38,46,46,35,53,57,56,73,48,543,11,49,99,C,B
18,FLAGLER,58,51,39,61,55,41,56,70,60,77,40,608,11,55,98,B,B
19,FRANKLIN,44,44,40,44,44,41,55,54,43,49,33,491,11,45,95,C,C
20,GADSDEN,33,39,34,39,39,39,29,37,63,65,44,461,11,42,96,C,D
21,GILCHRIST,56,49,40,61,56,46,66,70,59,94,72,669,11,61,99,B,A
22,GLADES,43,47,46,48,46,52,40,49,52,81,30,534,11,49,98,C,C
23,GULF,51,51,43,64,60,50,55,66,34,84,57,615,11,56,98,B,B
24,HAMILTON,26,33,34,39,35,34,30,43,25,74,62,435,11,40,95,D,D
25,HARDEE,43,46,42,44,45,39,48,41,50,60,41,499,11,45,98,C,C
26,HENDRY,40,46,38,41,48,45,42,57,50,77,43,527,11,48,99,C,C
27,HERNANDO,52,47,38,58,54,43,57,73,44,78,54,598,11,54,98,B,B
28,HIGHLANDS,45,47,40,50,48,41,46,60,53,64,47,541,11,49,98,C,C
29,HILLSBOROUGH,51,50,39,53,52,38,54,71,77,76,47,608,11,55,98,B,A
30,HOLMES,46,47,40,46,48,46,46,65,37,81,46,548,11,50,98,C,C
31,INDIAN RIVER,51,49,38,51,52,40,54,70,58,81,62,606,11,55,97,B,A
32,JACKSON,53,49,38,53,47,39,52,63,37,70,39,540,11,49,98,C,B
33,JEFFERSON,27,47,43,24,32,40,23,25,21,73,27,382,11,35,96,D,D
34,LAFAYETTE,50,52,51,59,51,43,60,64,64,87,60,641,11,58,98,B,B
35,LAKE,50,48,38,52,50,39,54,67,61,76,41,576,11,52,98,C,B
36,LEE,53,50,39,52,48,39,51,65,63,75,54,589,11,54,98,B,B
37,LEON,58,53,39,60,56,38,56,75,66,87,54,642,11,58,99,B,A
38,LEVY,42,47,43,48,47,40,51,73,45,82,54,572,11,52,97,C,B
39,LIBERTY,49,47,44,48,49,45,59,70,54,78,68,611,11,56,97,B,B
40,MADISON,34,37,31,40,45,37,35,38,60,58,64,479,11,44,98,C,C
41,MANATEE,49,49,40,54,53,40,51,67,46,78,57,584,11,53,98,C,B
42,MARION,45,46,38,45,46,36,52,63,44,81,49,545,11,50,98,C,B
43,MARTIN,59,56,45,58,53,42,61,73,57,89,66,659,11,60,98,B,A
44,MONROE,57,53,43,61,59,48,66,75,57,77,48,644,11,59,99,B,A
45,NASSAU,63,54,44,65,58,47,68,73,52,91,60,675,11,61,99,B,A
46,OKALOOSA,63,55,44,71,61,49,69,80,56,82,66,696,11,63,98,A,A
47,OKEECHOBEE,39,47,42,45,49,43,43,50,64,66,61,549,11,50,98,C,C
48,ORANGE,54,52,40,52,54,44,56,68,75,78,45,618,11,56,98,B,B
49,OSCEOLA,51,50,41,48,49,41,55,66,59,81,44,585,11,53,98,C,B
50,PALM BEACH,55,55,44,58,55,42,60,72,60,79,61,641,11,58,98,B,A
51,PASCO,53,49,36,53,50,36,56,72,55,79,46,585,11,53,98,C,B
52,PINELLAS,51,49,38,53,51,38,58,67,69,78,51,603,11,55,98,B,B
53,POLK,46,49,41,44,44,36,47,60,52,69,54,542,11,49,98,C,C
54,PUTNAM,37,42,35,40,41,36,37,50,49,55,45,467,11,42,99,C,C
55,ST. JOHNS,74,61,46,77,65,51,80,88,57,91,61,751,11,68,99,A,A
56,ST. LUCIE,47,50,43,46,47,39,52,63,57,75,54,573,11,52,98,C,B
57,SANTA ROSA,65,55,42,67,57,44,67,78,55,83,60,673,11,61,99,B,A
58,SARASOTA,66,55,43,69,62,44,66,78,55,79,60,677,11,62,99,A,A
59,SEMINOLE,62,54,38,62,57,40,64,78,72,86,50,663,11,60,98,B,A
60,SUMTER,60,55,44,63,56,41,61,73,66,80,48,647,11,59,99,B,A
61,SUWANNEE,44,45,39,44,48,42,48,62,58,68,65,563,11,51,98,C,B
62,TAYLOR,41,45,38,50,49,43,55,62,75,65,38,561,11,51,97,C,C
63,UNION,54,47,36,69,57,48,55,76,50,78,60,630,11,57,98,B,A
64,VOLUSIA,51,48,36,55,52,41,64,68,57,72,51,595,11,54,97,B,B
65,WAKULLA,59,54,43,58,54,44,65,76,68,78,56,655,11,60,99,B,A
66,WALTON,60,55,42,63,60,51,63,78,47,74,51,644,11,59,98,B,B
67,WASHINGTON,49,47,38,53,53,46,57,63,64,70,39,579,11,53,97,C,B