Combined Mathematics (FSA Mathematics and FSA EOCs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54-PUTNAM,12-Twelfth,0.0%,75,**,69.3%,18.7%,12.0%,1.3%,1.3%,0.0%,65,13,58.5%,21.5%,20.0%,6.2%,6.2%,3.6%,56,13,60.7%,16.1%,23.2%,5.4%,1.8%,5.1%,59,18,55.9%,13.6%,30.5%,8.5%,3.4%
55-ST. JOHNS,09-Ninth,22.9%,"2,735","2,223",10.3%,8.4%,81.3%,47.1%,24.2%,23.8%,"2,756","2,127",12.8%,10.0%,77.2%,45.6%,21.8%,24.9%,"3,061","2,391",13.6%,8.3%,78.1%,46.6%,21.7%,21.4%,"2,776","2,134",14.0%,9.1%,76.9%,43.9%,22.6%
55-ST. JOHNS,10-Tenth,15.2%,"2,198","1,678",8.2%,15.4%,76.3%,31.9%,16.7%,15.8%,"2,233","1,657",10.1%,15.7%,74.2%,33.4%,17.6%,18.1%,"2,260","1,737",9.7%,13.4%,76.9%,36.6%,18.6%,9.8%,"1,391",975,11.4%,18.5%,70.1%,29.8%,20.1%
55-ST. JOHNS,11-Eleventh,4.2%,"1,130",557,21.6%,29.1%,49.3%,11.9%,7.7%,5.1%,"1,154",495,29.5%,27.6%,42.9%,11.2%,6.1%,7.5%,"1,296",658,26.2%,23.1%,50.8%,16.0%,8.6%,6.5%,415,192,35.2%,18.6%,46.3%,17.8%,11.3%
55-ST. JOHNS,12-Twelfth,1.7%,119,39,35.3%,31.9%,32.8%,5.9%,4.2%,5.7%,192,61,40.1%,28.1%,31.8%,13.5%,7.8%,5.2%,289,98,41.5%,24.6%,33.9%,10.7%,5.5%,17.9%,106,69,22.6%,12.3%,65.1%,30.2%,12.3%
56-ST. LUCIE,09-Ninth,3.2%,"2,978","1,366",37.1%,17.0%,45.9%,11.8%,8.5%,3.1%,"3,028","1,297",37.1%,20.0%,42.8%,10.5%,7.4%,6.5%,"1,984","1,296",16.5%,18.2%,65.3%,20.7%,14.2%,7.1%,"1,677","1,134",16.5%,15.9%,67.6%,22.6%,15.5%
56-ST. LUCIE,10-Tenth,1.5%,"2,505",806,43.5%,24.3%,32.2%,5.0%,3.4%,1.6%,"2,580",813,45.3%,23.2%,31.5%,6.4%,4.9%,4.6%,"1,641",862,22.7%,24.8%,52.5%,13.3%,8.7%,1.7%,"1,910",683,44.0%,20.2%,35.8%,6.9%,5.2%
56-ST. LUCIE,11-Eleventh,0.3%,"1,478",207,65.1%,20.9%,14.0%,1.6%,1.2%,0.5%,"1,536",207,64.3%,22.3%,13.5%,2.0%,1.4%,1.3%,868,201,51.7%,25.1%,23.2%,3.9%,2.6%,0.6%,"1,086",144,67.1%,19.6%,13.3%,1.8%,1.2%
56-ST. LUCIE,12-Twelfth,0.3%,288,40,68.1%,18.1%,13.9%,2.1%,1.7%,0.0%,191,21,75.9%,13.1%,11.0%,2.6%,2.6%,3.0%,100,25,58.0%,17.0%,25.0%,8.0%,5.0%,5.0%,202,39,69.3%,11.4%,19.3%,7.9%,3.0%
57-SANTA ROSA,09-Ninth,13.7%,"1,755","1,330",12.3%,12.0%,75.8%,31.9%,18.2%,14.8%,"1,681","1,241",13.1%,13.1%,73.8%,31.6%,16.8%,13.6%,"1,845","1,353",14.1%,12.5%,73.3%,33.2%,19.6%,8.6%,"1,781","1,197",18.1%,14.7%,67.2%,26.6%,18.0%
57-SANTA ROSA,10-Tenth,7.6%,"1,867","1,090",19.7%,21.9%,58.4%,18.6%,11.0%,10.3%,"2,007","1,129",22.7%,21.0%,56.3%,21.2%,10.9%,9.8%,"1,983","1,189",21.9%,18.1%,60.0%,20.8%,10.9%,4.2%,"1,204",637,25.5%,21.6%,52.9%,13.7%,9.6%
57-SANTA ROSA,11-Eleventh,1.1%,878,221,44.9%,30.0%,25.2%,4.4%,3.3%,1.7%,"1,104",272,45.9%,29.4%,24.6%,5.0%,3.3%,2.5%,"1,091",333,42.9%,26.6%,30.5%,6.8%,4.3%,1.3%,313,102,43.5%,24.0%,32.6%,7.0%,5.8%
57-SANTA ROSA,12-Twelfth,0.9%,111,26,57.7%,18.9%,23.4%,4.5%,3.6%,0.7%,153,31,54.2%,25.5%,20.3%,6.5%,5.9%,3.4%,206,54,48.5%,25.2%,26.2%,7.8%,4.4%,3.3%,61,18,52.5%,18.0%,29.5%,4.9%,1.6%
58-SARASOTA,09-Ninth,18.2%,"2,989","2,120",16.5%,12.6%,70.9%,35.8%,17.6%,19.7%,"3,167","2,330",15.3%,11.2%,73.6%,38.1%,18.4%,23.3%,"3,058","2,327",14.2%,9.7%,76.1%,42.7%,19.4%,18.4%,"2,775","2,158",12.2%,10.0%,77.8%,41.1%,22.7%
58-SARASOTA,10-Tenth,8.6%,"2,725","1,579",21.5%,20.6%,57.9%,20.6%,12.0%,10.8%,"2,734","1,557",24.0%,19.1%,56.9%,22.6%,11.9%,14.3%,"2,600","1,677",18.8%,16.7%,64.5%,28.1%,13.8%,6.4%,"1,432",850,22.6%,18.1%,59.4%,20.4%,14.0%
58-SARASOTA,11-Eleventh,1.4%,"1,400",383,44.0%,28.6%,27.4%,4.7%,3.4%,3.3%,"1,172",396,39.8%,26.5%,33.8%,8.4%,5.1%,6.0%,"1,142",512,33.3%,21.9%,44.8%,14.3%,8.2%,4.0%,521,158,50.1%,19.6%,30.3%,7.9%,3.8%
58-SARASOTA,12-Twelfth,1.8%,225,64,54.2%,17.3%,28.4%,7.6%,5.8%,4.0%,125,30,55.2%,20.8%,24.0%,7.2%,3.2%,4.3%,140,45,51.4%,16.4%,32.1%,9.3%,5.0%,10.0%,170,84,36.5%,14.1%,49.4%,25.9%,15.9%
59-SEMINOLE,09-Ninth,13.5%,"4,954","3,212",22.6%,12.6%,64.8%,28.7%,15.2%,15.3%,"4,811","2,998",24.8%,12.9%,62.3%,30.1%,14.7%,17.2%,"4,687","2,957",25.6%,11.3%,63.1%,33.0%,15.8%,12.9%,"4,295","2,557",27.4%,13.0%,59.5%,29.9%,16.9%
59-SEMINOLE,10-Tenth,7.5%,"4,100","2,238",23.2%,22.2%,54.6%,17.7%,10.2%,8.5%,"4,059","2,102",26.4%,21.8%,51.8%,19.1%,10.6%,11.7%,"3,999","2,376",22.2%,18.4%,59.4%,23.9%,12.3%,3.6%,"2,391","1,132",32.5%,20.2%,47.3%,13.6%,10.0%
59-SEMINOLE,11-Eleventh,1.5%,"2,262",558,50.9%,24.4%,24.7%,4.4%,2.9%,2.5%,"2,047",533,49.7%,24.2%,26.0%,6.9%,4.3%,4.7%,"2,135",742,42.1%,23.1%,34.8%,10.0%,5.3%,4.6%,846,228,53.9%,19.1%,27.0%,10.4%,5.8%
59-SEMINOLE,12-Twelfth,1.6%,248,37,66.1%,19.0%,14.9%,4.0%,2.4%,1.4%,295,58,58.3%,22.0%,19.7%,4.1%,2.7%,7.9%,315,99,48.9%,19.7%,31.4%,12.7%,4.8%,10.0%,211,95,41.7%,13.3%,45.0%,21.8%,11.8%
60-SUMTER,09-Ninth,7.9%,558,319,27.2%,15.6%,57.2%,19.7%,11.8%,7.0%,557,308,28.4%,16.3%,55.3%,19.7%,12.7%,8.5%,585,352,26.5%,13.3%,60.2%,22.4%,13.8%,3.6%,504,245,32.7%,18.7%,48.6%,14.3%,10.7%
60-SUMTER,10-Tenth,7.3%,411,188,27.7%,26.5%,45.7%,15.6%,8.3%,3.3%,452,212,25.9%,27.2%,46.9%,12.8%,9.5%,5.4%,388,201,28.9%,19.3%,51.8%,14.7%,9.3%,1.5%,262,129,26.7%,24.0%,49.2%,11.1%,9.5%
60-SUMTER,11-Eleventh,2.7%,293,60,57.0%,22.5%,20.5%,6.5%,3.8%,1.1%,262,78,42.7%,27.5%,29.8%,5.0%,3.8%,0.4%,240,57,54.6%,21.7%,23.8%,5.0%,4.6%,2.5%,79,25,44.3%,24.1%,31.6%,7.6%,5.1%
60-SUMTER,12-Twelfth,0.0%,25,**,64.0%,20.0%,16.0%,4.0%,4.0%,6.3%,16,**,43.8%,25.0%,31.3%,12.5%,6.3%,11.1%,18,**,50.0%,16.7%,33.3%,11.1%,0.0%,0.0%,13,**,53.8%,30.8%,15.4%,0.0%,0.0%
61-SUWANNEE,09-Ninth,8.0%,263,132,31.2%,18.6%,50.2%,17.5%,9.5%,5.7%,264,114,35.6%,21.2%,43.2%,10.6%,4.9%,3.4%,292,102,45.2%,19.9%,34.9%,8.6%,5.1%,0.8%,243,82,46.9%,19.3%,33.7%,6.2%,5.3%
61-SUWANNEE,10-Tenth,5.2%,267,155,21.3%,20.6%,58.1%,16.5%,11.2%,8.5%,364,160,37.6%,18.4%,44.0%,19.2%,10.7%,6.8%,323,141,34.4%,22.0%,43.7%,14.9%,8.0%,5.7%,192,110,22.9%,19.8%,57.3%,17.7%,12.0%
61-SUWANNEE,11-Eleventh,1.4%,210,50,49.5%,26.7%,23.8%,4.3%,2.9%,0.5%,216,54,54.2%,20.8%,25.0%,2.8%,2.3%,1.1%,175,62,39.4%,25.1%,35.4%,7.4%,6.3%,0.0%,116,23,56.9%,23.3%,19.8%,1.7%,1.7%
61-SUWANNEE,12-Twelfth,0.0%,25,**,48.0%,20.0%,32.0%,8.0%,8.0%,1.8%,56,**,64.3%,19.6%,16.1%,5.4%,3.6%,0.0%,35,10,42.9%,28.6%,28.6%,2.9%,2.9%,4.4%,45,12,57.8%,15.6%,26.7%,4.4%,0.0%
62-TAYLOR,09-Ninth,5.1%,158,91,25.3%,17.1%,57.6%,19.6%,14.6%,2.5%,160,60,40.0%,22.5%,37.5%,7.5%,5.0%,3.2%,126,67,29.4%,17.5%,53.2%,15.1%,11.9%,2.0%,149,53,41.6%,22.8%,35.6%,6.0%,4.0%
62-TAYLOR,10-Tenth,2.0%,149,38,43.0%,31.5%,25.5%,8.1%,6.0%,2.2%,178,65,38.8%,24.7%,36.5%,9.0%,6.7%,3.1%,128,47,39.8%,23.4%,36.7%,9.4%,6.3%,0.0%,64,12,57.8%,23.4%,18.8%,0.0%,0.0%
62-TAYLOR,11-Eleventh,0.0%,36,**,44.4%,38.9%,16.7%,2.8%,2.8%,0.0%,30,11,40.0%,23.3%,36.7%,6.7%,6.7%,0.0%,22,**,59.1%,31.8%,9.1%,0.0%,0.0%,0.0%,37,**,78.4%,8.1%,13.5%,0.0%,0.0%
62-TAYLOR,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*
63-UNION,09-Ninth,4.2%,120,78,15.0%,20.0%,65.0%,15.8%,11.7%,9.5%,105,81,13.3%,9.5%,77.1%,23.8%,14.3%,11.2%,161,122,13.0%,11.2%,75.8%,38.5%,27.3%,15.2%,145,101,20.7%,9.7%,69.7%,33.1%,17.9%
63-UNION,10-Tenth,1.4%,141,68,22.0%,29.8%,48.2%,7.1%,5.7%,5.1%,138,71,21.0%,27.5%,51.4%,12.3%,7.2%,7.5%,93,60,14.0%,21.5%,64.5%,15.1%,7.5%,10.2%,59,42,15.3%,13.6%,71.2%,22.0%,11.9%
63-UNION,11-Eleventh,0.0%,78,11,64.1%,21.8%,14.1%,1.3%,1.3%,2.9%,34,13,29.4%,32.4%,38.2%,2.9%,0.0%,0.0%,17,**,23.5%,47.1%,29.4%,0.0%,0.0%,4.1%,49,29,26.5%,14.3%,59.2%,12.2%,8.2%
63-UNION,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,5.9%,17,**,47.1%,23.5%,29.4%,5.9%,0.0%
64-VOLUSIA,09-Ninth,13.4%,"3,165","2,170",18.5%,12.9%,68.6%,31.2%,17.8%,12.9%,"3,540","2,331",21.4%,12.7%,65.8%,28.8%,15.9%,11.5%,"3,202","2,034",23.6%,12.8%,63.5%,25.5%,14.1%,7.8%,"2,846","1,695",24.5%,15.9%,59.6%,22.5%,14.6%
64-VOLUSIA,10-Tenth,4.0%,"3,532","1,692",29.5%,22.6%,47.9%,11.6%,7.6%,3.9%,"3,368","1,494",33.8%,21.8%,44.4%,11.4%,7.5%,4.8%,"3,470","1,586",35.1%,19.2%,45.7%,13.4%,8.7%,2.6%,"2,677","1,086",39.4%,20.0%,40.6%,9.7%,7.1%
64-VOLUSIA,11-Eleventh,1.1%,"1,939",469,50.3%,25.5%,24.2%,3.4%,2.3%,0.9%,"1,618",419,47.8%,26.3%,25.9%,3.0%,2.1%,2.6%,"1,938",646,42.1%,24.6%,33.3%,7.8%,5.2%,1.5%,"1,176",353,48.5%,21.5%,30.0%,7.2%,5.7%
64-VOLUSIA,12-Twelfth,0.5%,582,121,56.5%,22.7%,20.8%,2.7%,2.2%,1.7%,536,113,59.5%,19.4%,21.1%,3.9%,2.2%,1.7%,769,175,55.3%,22.0%,22.8%,3.4%,1.7%,1.8%,658,158,52.6%,23.4%,24.0%,4.9%,3.0%
65-WAKULLA,09-Ninth,8.1%,385,257,19.2%,14.0%,66.8%,22.9%,14.8%,7.9%,354,204,21.5%,20.9%,57.6%,18.9%,11.0%,13.7%,249,197,7.6%,13.3%,79.1%,32.9%,19.3%,6.4%,173,144,9.8%,6.9%,83.2%,27.2%,20.8%
65-WAKULLA,10-Tenth,7.0%,314,163,22.9%,25.2%,51.9%,15.9%,8.9%,5.6%,322,144,31.1%,24.2%,44.7%,11.5%,5.9%,6.9%,131,84,16.8%,19.1%,64.1%,22.1%,15.3%,2.3%,174,69,37.9%,22.4%,39.7%,9.2%,6.9%
65-WAKULLA,11-Eleventh,4.3%,70,17,50.0%,25.7%,24.3%,5.7%,1.4%,1.4%,71,19,40.8%,32.4%,26.8%,4.2%,2.8%,11.1%,27,20,7.4%,18.5%,74.1%,33.3%,22.2%,0.0%,72,19,47.2%,26.4%,26.4%,1.4%,1.4%
65-WAKULLA,12-Twelfth,0.0%,16,**,75.0%,6.3%,18.8%,6.3%,6.3%,20.0%,10,**,40.0%,40.0%,20.0%,20.0%,0.0%,18.2%,11,**,27.3%,18.2%,54.5%,36.4%,18.2%,10.0%,10,**,40.0%,0.0%,60.0%,20.0%,10.0%
66-WALTON,09-Ninth,8.5%,552,357,21.0%,14.3%,64.7%,27.2%,18.7%,9.3%,599,397,20.7%,13.0%,66.3%,26.2%,16.9%,21.3%,465,382,11.2%,6.7%,82.2%,43.9%,22.6%,17.6%,450,362,9.6%,10.0%,80.4%,38.7%,21.1%
66-WALTON,10-Tenth,7.6%,503,221,33.2%,22.9%,43.9%,15.1%,7.6%,7.2%,529,285,23.1%,23.1%,53.9%,20.8%,13.6%,10.6%,576,367,20.5%,15.8%,63.7%,27.1%,16.5%,9.6%,387,252,19.1%,15.8%,65.1%,21.7%,12.1%
66-WALTON,11-Eleventh,1.9%,311,130,34.4%,23.8%,41.8%,9.0%,7.1%,2.3%,305,121,32.1%,28.2%,39.7%,7.5%,5.2%,4.1%,268,123,31.7%,22.4%,45.9%,13.1%,9.0%,2.8%,109,39,45.0%,19.3%,35.8%,8.3%,5.5%
66-WALTON,12-Twelfth,2.4%,42,12,54.8%,16.7%,28.6%,7.1%,4.8%,3.7%,54,11,46.3%,33.3%,20.4%,9.3%,5.6%,4.4%,45,18,37.8%,22.2%,40.0%,8.9%,4.4%,7.1%,28,12,39.3%,17.9%,42.9%,17.9%,10.7%
67-WASHINGTON,09-Ninth,2.7%,262,123,35.5%,17.6%,46.9%,12.6%,9.9%,2.5%,203,85,39.9%,18.2%,41.9%,8.9%,6.4%,6.0%,218,115,34.9%,12.4%,52.8%,17.0%,11.0%,2.2%,223,107,35.0%,17.0%,48.0%,12.1%,9.9%
67-WASHINGTON,10-Tenth,1.6%,251,82,42.2%,25.1%,32.7%,6.4%,4.8%,3.3%,245,94,38.0%,23.7%,38.4%,9.8%,6.5%,5.7%,192,85,36.5%,19.3%,44.3%,13.5%,7.8%,0.0%,140,31,56.4%,21.4%,22.1%,1.4%,1.4%
67-WASHINGTON,11-Eleventh,0.7%,150,37,54.7%,20.7%,24.7%,3.3%,2.7%,0.0%,89,19,39.3%,39.3%,21.3%,1.1%,1.1%,3.3%,61,29,24.6%,27.9%,47.5%,8.2%,4.9%,0.0%,17,**,64.7%,17.6%,17.6%,0.0%,0.0%
67-WASHINGTON,12-Twelfth,0.0%,25,**,72.0%,24.0%,4.0%,0.0%,0.0%,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,0.0%,12,**,75.0%,8.3%,16.7%,0.0%,0.0%
68-DEAF/BLIND,09-Ninth,2.6%,39,23,33.3%,7.7%,59.0%,12.8%,10.3%,5.6%,18,**,22.2%,44.4%,33.3%,5.6%,0.0%,6.9%,29,13,48.3%,6.9%,44.8%,20.7%,13.8%,2.4%,41,13,53.7%,14.6%,31.7%,7.3%,4.9%
68-DEAF/BLIND,10-Tenth,2.0%,51,25,41.2%,9.8%,49.0%,5.9%,3.9%,4.0%,50,10,62.0%,18.0%,20.0%,8.0%,4.0%,3.2%,31,**,58.1%,32.3%,9.7%,3.2%,0.0%,0.0%,35,**,62.9%,11.4%,25.7%,5.7%,5.7%
68-DEAF/BLIND,11-Eleventh,2.6%,39,**,64.1%,15.4%,20.5%,2.6%,0.0%,2.6%,39,**,71.8%,20.5%,7.7%,2.6%,0.0%,0.0%,40,**,72.5%,20.0%,7.5%,2.5%,2.5%,0.0%,21,**,90.5%,9.5%,0.0%,0.0%,0.0%
68-DEAF/BLIND,12-Twelfth,0.0%,27,**,74.1%,25.9%,0.0%,0.0%,0.0%,0.0%,26,**,84.6%,11.5%,3.8%,0.0%,0.0%,0.0%,16,**,87.5%,12.5%,0.0%,0.0%,0.0%,0.0%,12,**,100.0%,0.0%,0.0%,0.0%,0.0%
71-FL VIRTUAL,09-Ninth,14.2%,260,166,19.6%,16.5%,63.8%,26.5%,12.3%,9.8%,441,272,22.4%,15.9%,61.7%,23.4%,13.6%,14.0%,379,255,18.2%,14.5%,67.3%,28.8%,14.8%,8.4%,441,271,22.7%,15.9%,61.5%,25.6%,17.2%
71-FL VIRTUAL,10-Tenth,7.8%,306,162,19.0%,28.1%,52.9%,15.7%,7.8%,7.3%,504,267,26.6%,20.4%,53.0%,18.5%,11.1%,7.1%,409,228,24.7%,19.6%,55.7%,18.1%,11.0%,8.3%,301,206,15.9%,15.6%,68.4%,17.6%,9.3%
71-FL VIRTUAL,11-Eleventh,2.2%,227,69,39.6%,30.0%,30.4%,6.6%,4.4%,3.4%,320,113,44.7%,20.0%,35.3%,10.9%,7.5%,3.9%,255,94,36.9%,26.3%,36.9%,10.2%,6.3%,7.0%,114,53,36.8%,16.7%,46.5%,15.8%,8.8%
71-FL VIRTUAL,12-Twelfth,0.0%,48,15,35.4%,33.3%,31.3%,6.3%,6.3%,5.6%,54,16,38.9%,31.5%,29.6%,7.4%,1.9%,2.9%,70,12,55.7%,27.1%,17.1%,4.3%,1.4%,16.7%,24,15,29.2%,8.3%,62.5%,29.2%,12.5%
72-FAU LAB SCH,09-Ninth,75.9%,112,112,0.0%,0.0%,100.0%,91.1%,15.2%,94.2%,121,121,0.0%,0.0%,100.0%,100.0%,5.8%,95.0%,139,139,0.0%,0.0%,100.0%,98.6%,3.6%,95.2%,42,42,0.0%,0.0%,100.0%,100.0%,4.8%
72-FAU LAB SCH,10-Tenth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*
72-FAU LAB SCH,11-Eleventh,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*
72-FAU LAB SCH,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*,**.*,**,**,**.*,**.*,**.*,**.*,**.*
73-FSU LAB SCH,09-Ninth,13.0%,161,149,3.7%,3.7%,92.5%,39.8%,26.7%,12.3%,171,138,5.3%,14.0%,80.7%,39.2%,26.9%,14.1%,177,136,9.6%,13.6%,76.8%,33.9%,19.8%,13.9%,158,122,10.8%,12.0%,77.2%,34.8%,20.9%
73-FSU LAB SCH,10-Tenth,4.6%,131,87,15.3%,18.3%,66.4%,19.8%,15.3%,8.1%,161,111,8.7%,22.4%,68.9%,25.5%,17.4%,10.2%,118,90,9.3%,14.4%,76.3%,28.0%,17.8%,5.8%,104,68,12.5%,22.1%,65.4%,20.2%,14.4%
73-FSU LAB SCH,11-Eleventh,0.0%,76,19,42.1%,32.9%,25.0%,1.3%,1.3%,2.3%,88,21,44.3%,31.8%,23.9%,4.5%,2.3%,1.1%,90,30,30.0%,36.7%,33.3%,4.4%,3.3%,8.3%,24,10,33.3%,25.0%,41.7%,8.3%,0.0%
73-FSU LAB SCH,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,,,,,,,,,,,,,,,,,,,,,,,,
74-FAMU LAB SCH,09-Ninth,0.0%,24,**,45.8%,20.8%,33.3%,0.0%,0.0%,0.0%,28,**,53.6%,21.4%,25.0%,0.0%,0.0%,0.0%,32,**,65.6%,18.8%,15.6%,0.0%,0.0%,0.0%,41,12,41.5%,29.3%,29.3%,2.4%,2.4%
74-FAMU LAB SCH,10-Tenth,0.0%,18,**,83.3%,5.6%,11.1%,0.0%,0.0%,0.0%,18,**,72.2%,27.8%,0.0%,0.0%,0.0%,0.0%,31,**,41.9%,41.9%,16.1%,0.0%,0.0%,0.0%,19,**,68.4%,15.8%,15.8%,0.0%,0.0%
74-FAMU LAB SCH,11-Eleventh,0.0%,23,**,73.9%,17.4%,8.7%,0.0%,0.0%,**.*,**,**,**.*,**.*,**.*,**.*,**.*,0.0%,19,**,78.9%,21.1%,0.0%,0.0%,0.0%,**.*,**,**,**.*,**.*,**.*,**.*,**.*
74-FAMU LAB SCH,12-Twelfth,,,,,,,,,**.*,**,**,**.*,**.*,**.*,**.*,**.*,,,,,,,,,**.*,**,**,**.*,**.*,**.*,**.*,**.*
75-UF LAB SCH,09-Ninth,21.5%,121,101,12.4%,4.1%,83.5%,39.7%,18.2%,15.8%,120,95,8.3%,12.5%,79.2%,38.3%,22.5%,18.9%,122,102,7.4%,9.0%,83.6%,44.3%,25.4%,19.3%,114,91,8.8%,11.4%,79.8%,48.2%,28.9%
75-UF LAB SCH,10-Tenth,7.7%,117,80,10.3%,21.4%,68.4%,25.6%,17.9%,13.3%,105,74,11.4%,18.1%,70.5%,29.5%,16.2%,3.7%,107,49,28.0%,26.2%,45.8%,10.3%,6.5%,0.0%,16,**,31.3%,25.0%,43.8%,31.3%,31.3%
75-UF LAB SCH,11-Eleventh,5.0%,40,**,50.0%,30.0%,20.0%,5.0%,0.0%,3.0%,33,18,21.2%,24.2%,54.5%,9.1%,6.1%,5.6%,36,11,47.2%,22.2%,30.6%,13.9%,8.3%,**.*,**,**,**.*,**.*,**.*,**.*,**.*
75-UF LAB SCH,12-Twelfth,**.*,**,**,**.*,**.*,**.*,**.*,**.*,,,,,,,,,,,,,,,,,**.*,**,**,**.*,**.*,**.*,**.*,**.*